"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"69 years"	"69"	"2019"	"2019"	3251426
	"69 years"	"69"	"2020"	"2020"	3286519
"Total"	"69 years"	"69"			30963484
	"70 years"	"70"	"2010"	"2010"	2062464
	"70 years"	"70"	"2011"	"2011"	2129010
	"70 years"	"70"	"2012"	"2012"	2280583
	"70 years"	"70"	"2013"	"2013"	2563820
	"70 years"	"70"	"2014"	"2014"	2461599
	"70 years"	"70"	"2015"	"2015"	2486735
	"70 years"	"70"	"2016"	"2016"	2483776
	"70 years"	"70"	"2017"	"2017"	3318766
	"70 years"	"70"	"2018"	"2018"	3140795
	"70 years"	"70"	"2019"	"2019"	3135014
	"70 years"	"70"	"2020"	"2020"	3192029
"Total"	"70 years"	"70"			29254591
	"71 years"	"71"	"2010"	"2010"	1953481
	"71 years"	"71"	"2011"	"2011"	2022334
	"71 years"	"71"	"2012"	"2012"	2089101
	"71 years"	"71"	"2013"	"2013"	2236842
	"71 years"	"71"	"2014"	"2014"	2516548
	"71 years"	"71"	"2015"	"2015"	2414508
	"71 years"	"71"	"2016"	"2016"	2441159
	"71 years"	"71"	"2017"	"2017"	2437215
	"71 years"	"71"	"2018"	"2018"	3257223
	"71 years"	"71"	"2019"	"2019"	3083271
	"71 years"	"71"	"2020"	"2020"	3074732
"Total"	"71 years"	"71"			27526414
	"72 years"	"72"	"2010"	"2010"	1883723
	"72 years"	"72"	"2011"	"2011"	1911797
	"72 years"	"72"	"2012"	"2012"	1980840
	"72 years"	"72"	"2013"	"2013"	2045368
	"72 years"	"72"	"2014"	"2014"	2191830
	"72 years"	"72"	"2015"	"2015"	2464193
	"72 years"	"72"	"2016"	"2016"	2366033
	"72 years"	"72"	"2017"	"2017"	2391762
	"72 years"	"72"	"2018"	"2018"	2387143
	"72 years"	"72"	"2019"	"2019"	3191829
	"72 years"	"72"	"2020"	"2020"	3017173
"Total"	"72 years"	"72"			25831691
	"73 years"	"73"	"2010"	"2010"	1750230
	"73 years"	"73"	"2011"	"2011"	1839650
	"73 years"	"73"	"2012"	"2012"	1868580
	"73 years"	"73"	"2013"	"2013"	1935290
	"73 years"	"73"	"2014"	"2014"	2000206
	"73 years"	"73"	"2015"	"2015"	2141679
	"73 years"	"73"	"2016"	"2016"	2410060
	"73 years"	"73"	"2017"	"2017"	2313395
	"73 years"	"73"	"2018"	"2018"	2338608
	"73 years"	"73"	"2019"	"2019"	2334191
	"73 years"	"73"	"2020"	"2020"	3117385
"Total"	"73 years"	"73"			24049274
	"74 years"	"74"	"2010"	"2010"	1685941
	"74 years"	"74"	"2011"	"2011"	1705172
	"74 years"	"74"	"2012"	"2012"	1794041
	"74 years"	"74"	"2013"	"2013"	1821192
	"74 years"	"74"	"2014"	"2014"	1888259
	"74 years"	"74"	"2015"	"2015"	1950011
	"74 years"	"74"	"2016"	"2016"	2090106
	"74 years"	"74"	"2017"	"2017"	2351500
	"74 years"	"74"	"2018"	"2018"	2256938
	"74 years"	"74"	"2019"	"2019"	2282672
	"74 years"	"74"	"2020"	"2020"	2274412
"Total"	"74 years"	"74"			22100244
	"75 years"	"75"	"2010"	"2010"	1631850
	"75 years"	"75"	"2011"	"2011"	1638416
	"75 years"	"75"	"2012"	"2012"	1658797
	"75 years"	"75"	"2013"	"2013"	1744115
	"75 years"	"75"	"2014"	"2014"	1772510
	"75 years"	"75"	"2015"	"2015"	1836257
	"75 years"	"75"	"2016"	"2016"	1898429
	"75 years"	"75"	"2017"	"2017"	2034126
	"75 years"	"75"	"2018"	"2018"	2288559
	"75 years"	"75"	"2019"	"2019"	2197748
	"75 years"	"75"	"2020"	"2020"	2219565
"Total"	"75 years"	"75"			20920372
	"76 years"	"76"	"2010"	"2010"	1481683
	"76 years"	"76"	"2011"	"2011"	1581271
	"76 years"	"76"	"2012"	"2012"	1589343
	"76 years"	"76"	"2013"	"2013"	1608013
	"76 years"	"76"	"2014"	"2014"	1693003
	"76 years"	"76"	"2015"	"2015"	1718782
	"76 years"	"76"	"2016"	"2016"	1782780
	"76 years"	"76"	"2017"	"2017"	1842540
	"76 years"	"76"	"2018"	"2018"	1974067
	"76 years"	"76"	"2019"	"2019"	2222302
	"76 years"	"76"	"2020"	"2020"	2130427
"Total"	"76 years"	"76"			19624211
	"77 years"	"77"	"2010"	"2010"	1449166
	"77 years"	"77"	"2011"	"2011"	1430842
	"77 years"	"77"	"2012"	"2012"	1529155
	"77 years"	"77"	"2013"	"2013"	1535726
	"77 years"	"77"	"2014"	"2014"	1555999
	"77 years"	"77"	"2015"	"2015"	1636558
	"77 years"	"77"	"2016"	"2016"	1663622
	"77 years"	"77"	"2017"	"2017"	1725115
	"77 years"	"77"	"2018"	"2018"	1782832
	"77 years"	"77"	"2019"	"2019"	1910947
	"77 years"	"77"	"2020"	"2020"	2147097
"Total"	"77 years"	"77"			18367059
	"78 years"	"78"	"2010"	"2010"	1402200
	"78 years"	"78"	"2011"	"2011"	1394653
	"78 years"	"78"	"2012"	"2012"	1378612
	"78 years"	"78"	"2013"	"2013"	1472255
	"78 years"	"78"	"2014"	"2014"	1480786
	"78 years"	"78"	"2015"	"2015"	1498697
	"78 years"	"78"	"2016"	"2016"	1578783
	"78 years"	"78"	"2017"	"2017"	1604246
	"78 years"	"78"	"2018"	"2018"	1663683
	"78 years"	"78"	"2019"	"2019"	1720403
	"78 years"	"78"	"2020"	"2020"	1839828
"Total"	"78 years"	"78"			17034146
	"79 years"	"79"	"2010"	"2010"	1354930
	"79 years"	"79"	"2011"	"2011"	1343895
	"79 years"	"79"	"2012"	"2012"	1338619
	"79 years"	"79"	"2013"	"2013"	1321687
	"79 years"	"79"	"2014"	"2014"	1414075
	"79 years"	"79"	"2015"	"2015"	1420533
	"79 years"	"79"	"2016"	"2016"	1440113
	"79 years"	"79"	"2017"	"2017"	1516665
	"79 years"	"79"	"2018"	"2018"	1541038
	"79 years"	"79"	"2019"	"2019"	1599424
	"79 years"	"79"	"2020"	"2020"	1649916
"Total"	"79 years"	"79"			15940895
	"80 years"	"80"	"2010"	"2010"	1319720
	"80 years"	"80"	"2011"	"2011"	1292585
	"80 years"	"80"	"2012"	"2012"	1283898
	"80 years"	"80"	"2013"	"2013"	1277632
	"80 years"	"80"	"2014"	"2014"	1263607
	"80 years"	"80"	"2015"	"2015"	1350403
	"80 years"	"80"	"2016"	"2016"	1358909
	"80 years"	"80"	"2017"	"2017"	1377172
	"80 years"	"80"	"2018"	"2018"	1450531
	"80 years"	"80"	"2019"	"2019"	1474935
	"80 years"	"80"	"2020"	"2020"	1526957
"Total"	"80 years"	"80"			14976349
	"81 years"	"81"	"2010"	"2010"	1212523
	"81 years"	"81"	"2011"	"2011"	1252424
	"81 years"	"81"	"2012"	"2012"	1228498
	"81 years"	"81"	"2013"	"2013"	1218844
	"81 years"	"81"	"2014"	"2014"	1215729
	"81 years"	"81"	"2015"	"2015"	1200285
	"81 years"	"81"	"2016"	"2016"	1285388
	"81 years"	"81"	"2017"	"2017"	1292841
	"81 years"	"81"	"2018"	"2018"	1310292
	"81 years"	"81"	"2019"	"2019"	1381382
	"81 years"	"81"	"2020"	"2020"	1400392
"Total"	"81 years"	"81"			13998598
	"82 years"	"82"	"2010"	"2010"	1158187
	"82 years"	"82"	"2011"	"2011"	1143577
	"82 years"	"82"	"2012"	"2012"	1183577
	"82 years"	"82"	"2013"	"2013"	1159181
	"82 years"	"82"	"2014"	"2014"	1152982
	"82 years"	"82"	"2015"	"2015"	1148211
	"82 years"	"82"	"2016"	"2016"	1135666
	"82 years"	"82"	"2017"	"2017"	1215835
	"82 years"	"82"	"2018"	"2018"	1222929
	"82 years"	"82"	"2019"	"2019"	1240760
	"82 years"	"82"	"2020"	"2020"	1303809
"Total"	"82 years"	"82"			13064714
	"83 years"	"83"	"2010"	"2010"	1081228
	"83 years"	"83"	"2011"	"2011"	1084670
	"83 years"	"83"	"2012"	"2012"	1073222
	"83 years"	"83"	"2013"	"2013"	1109146
	"83 years"	"83"	"2014"	"2014"	1089142
	"83 years"	"83"	"2015"	"2015"	1081259
	"83 years"	"83"	"2016"	"2016"	1079613
	"83 years"	"83"	"2017"	"2017"	1066869
	"83 years"	"83"	"2018"	"2018"	1142652
	"83 years"	"83"	"2019"	"2019"	1150775
	"83 years"	"83"	"2020"	"2020"	1163249
"Total"	"83 years"	"83"			12121825
	"84 years"	"84"	"2010"	"2010"	986815
	"84 years"	"84"	"2011"	"2011"	1004524
	"84 years"	"84"	"2012"	"2012"	1010063
	"84 years"	"84"	"2013"	"2013"	997537
	"84 years"	"84"	"2014"	"2014"	1034488
	"84 years"	"84"	"2015"	"2015"	1013571
	"84 years"	"84"	"2016"	"2016"	1009041
	"84 years"	"84"	"2017"	"2017"	1007070
	"84 years"	"84"	"2018"	"2018"	994990
	"84 years"	"84"	"2019"	"2019"	1067248
	"84 years"	"84"	"2020"	"2020"	1070307
"Total"	"84 years"	"84"			11195654
	"85+ years"	"85+"	"2010"	"2010"	5543516
	"85+ years"	"85+"	"2011"	"2011"	5697459
	"85+ years"	"85+"	"2012"	"2012"	5865164
	"85+ years"	"85+"	"2013"	"2013"	5993714
	"85+ years"	"85+"	"2014"	"2014"	6133246
	"85+ years"	"85+"	"2015"	"2015"	6263096
	"85+ years"	"85+"	"2016"	"2016"	6383008
	"85+ years"	"85+"	"2017"	"2017"	6468926
	"85+ years"	"85+"	"2018"	"2018"	6538026
	"85+ years"	"85+"	"2019"	"2019"	6599467
	"85+ years"	"85+"	"2020"	"2020"	6658420
"Total"	"85+ years"	"85+"			68144042
"Total"					3522819714
"---"
"Dataset: Single-Race Population Estimates 2010-2020 by State and Single-Year Age"
"Query Parameters:"
"Group By: Single-Year Ages; Yearly July 1st Estimates"
"Show Totals: True"
"Show Zero Values: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/single-race.html for more information."
"---"
"Query Date: Jul 29, 2024 1:32:28 PM"
"---"
"Suggested Citation: Single-race Population Estimates, United States, 2010-2020. July 1st resident population by state, age, sex,"
"single-race, and Hispanic origin, on CDC WONDER Online Database. Vintage 2020 estimates released by U.S. Census Bureau on July"
"27, 2021. Accessed at http://wonder.cdc.gov/single-race-single-year-v2020.html on Jul 29, 2024 1:32:28 PM"
"---"
Footnotes:
"1. Estimates for 2010-2020 are single-race Vintage 2020 postcensal estimates of the July 1 resident population. These estimates"
"were prepared and released by the U.S. Census Bureau on July 27, 2021."
"---"
Caveats:
