"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"2020"	"2020"	3669863
	"< 1 year"	"0"	"2021"	"2021"	3570131
	"< 1 year"	"0"	"2022"	"2022"	3683113
"Total"	"< 1 year"	"0"			10923107
	"1 year"	"1"	"2020"	"2020"	3719267
	"1 year"	"1"	"2021"	"2021"	3675382
	"1 year"	"1"	"2022"	"2022"	3588817
"Total"	"1 year"	"1"			10983466
	"2 years"	"2"	"2020"	"2020"	3807454
	"2 years"	"2"	"2021"	"2021"	3725597
	"2 years"	"2"	"2022"	"2022"	3693362
"Total"	"2 years"	"2"			11226413
	"3 years"	"3"	"2020"	"2020"	3885476
	"3 years"	"3"	"2021"	"2021"	3813656
	"3 years"	"3"	"2022"	"2022"	3742836
"Total"	"3 years"	"3"			11441968
	"4 years"	"4"	"2020"	"2020"	3987970
	"4 years"	"4"	"2021"	"2021"	3891463
	"4 years"	"4"	"2022"	"2022"	3830225
"Total"	"4 years"	"4"			11709658
	"5 years"	"5"	"2020"	"2020"	4023811
	"5 years"	"5"	"2021"	"2021"	3993711
	"5 years"	"5"	"2022"	"2022"	3907298
"Total"	"5 years"	"5"			11924820
	"6 years"	"6"	"2020"	"2020"	4012049
	"6 years"	"6"	"2021"	"2021"	4029311
	"6 years"	"6"	"2022"	"2022"	4008898
"Total"	"6 years"	"6"			12050258
	"7 years"	"7"	"2020"	"2020"	3999001
	"7 years"	"7"	"2021"	"2021"	4017311
	"7 years"	"7"	"2022"	"2022"	4043729
"Total"	"7 years"	"7"			12060041
	"8 years"	"8"	"2020"	"2020"	4006214
	"8 years"	"8"	"2021"	"2021"	4004132
	"8 years"	"8"	"2022"	"2022"	4031341
"Total"	"8 years"	"8"			12041687
	"9 years"	"9"	"2020"	"2020"	4050595
	"9 years"	"9"	"2021"	"2021"	4011235
	"9 years"	"9"	"2022"	"2022"	4017929
"Total"	"9 years"	"9"			12079759
	"10 years"	"10"	"2020"	"2020"	4135255
	"10 years"	"10"	"2021"	"2021"	4055389
	"10 years"	"10"	"2022"	"2022"	4024547
"Total"	"10 years"	"10"			12215191
	"11 years"	"11"	"2020"	"2020"	4223965
	"11 years"	"11"	"2021"	"2021"	4139966
	"11 years"	"11"	"2022"	"2022"	4068564
"Total"	"11 years"	"11"			12432495
	"12 years"	"12"	"2020"	"2020"	4385948
	"12 years"	"12"	"2021"	"2021"	4228509
	"12 years"	"12"	"2022"	"2022"	4152811
"Total"	"12 years"	"12"			12767268
	"13 years"	"13"	"2020"	"2020"	4378112
	"13 years"	"13"	"2021"	"2021"	4390229
	"13 years"	"13"	"2022"	"2022"	4240884
"Total"	"13 years"	"13"			13009225
