"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"14 years"	"14"	"2020"	"2020"	4305343
	"14 years"	"14"	"2021"	"2021"	4382415
	"14 years"	"14"	"2022"	"2022"	4403033
"Total"	"14 years"	"14"			13090791
	"15 years"	"15"	"2020"	"2020"	4266157
	"15 years"	"15"	"2021"	"2021"	4309985
	"15 years"	"15"	"2022"	"2022"	4396566
"Total"	"15 years"	"15"			12972708
	"16 years"	"16"	"2020"	"2020"	4296018
	"16 years"	"16"	"2021"	"2021"	4271255
	"16 years"	"16"	"2022"	"2022"	4325808
"Total"	"16 years"	"16"			12893081
	"17 years"	"17"	"2020"	"2020"	4263694
	"17 years"	"17"	"2021"	"2021"	4302359
	"17 years"	"17"	"2022"	"2022"	4291066
"Total"	"17 years"	"17"			12857119
	"18 years"	"18"	"2020"	"2020"	4410589
	"18 years"	"18"	"2021"	"2021"	4270802
	"18 years"	"18"	"2022"	"2022"	4326642
"Total"	"18 years"	"18"			13008033
	"19 years"	"19"	"2020"	"2020"	4696335
	"19 years"	"19"	"2021"	"2021"	4416896
	"19 years"	"19"	"2022"	"2022"	4295710
"Total"	"19 years"	"19"			13408941
	"20 years"	"20"	"2020"	"2020"	4635665
	"20 years"	"20"	"2021"	"2021"	4701551
	"20 years"	"20"	"2022"	"2022"	4438006
"Total"	"20 years"	"20"			13775222
	"21 years"	"21"	"2020"	"2020"	4453607
	"21 years"	"21"	"2021"	"2021"	4639681
	"21 years"	"21"	"2022"	"2022"	4723644
"Total"	"21 years"	"21"			13816932
	"22 years"	"22"	"2020"	"2020"	4364411
	"22 years"	"22"	"2021"	"2021"	4458706
	"22 years"	"22"	"2022"	"2022"	4663473
"Total"	"22 years"	"22"			13486590
	"23 years"	"23"	"2020"	"2020"	4312307
	"23 years"	"23"	"2021"	"2021"	4370660
	"23 years"	"23"	"2022"	"2022"	4483807
"Total"	"23 years"	"23"			13166774
	"24 years"	"24"	"2020"	"2020"	4316961
	"24 years"	"24"	"2021"	"2021"	4319270
	"24 years"	"24"	"2022"	"2022"	4396849
"Total"	"24 years"	"24"			13033080
	"25 years"	"25"	"2020"	"2020"	4386124
	"25 years"	"25"	"2021"	"2021"	4323784
	"25 years"	"25"	"2022"	"2022"	4346308
"Total"	"25 years"	"25"			13056216
	"26 years"	"26"	"2020"	"2020"	4472557
	"26 years"	"26"	"2021"	"2021"	4392675
	"26 years"	"26"	"2022"	"2022"	4351553
"Total"	"26 years"	"26"			13216785
	"27 years"	"27"	"2020"	"2020"	4543051
	"27 years"	"27"	"2021"	"2021"	4478812
	"27 years"	"27"	"2022"	"2022"	4419629
"Total"	"27 years"	"27"			13441492
	"28 years"	"28"	"2020"	"2020"	4646721
	"28 years"	"28"	"2021"	"2021"	4548151
	"28 years"	"28"	"2022"	"2022"	4503844
"Total"	"28 years"	"28"			13698716
	"29 years"	"29"	"2020"	"2020"	4715713
	"29 years"	"29"	"2021"	"2021"	4650770
	"29 years"	"29"	"2022"	"2022"	4571830
"Total"	"29 years"	"29"			13938313
	"30 years"	"30"	"2020"	"2020"	4731808
	"30 years"	"30"	"2021"	"2021"	4719075
	"30 years"	"30"	"2022"	"2022"	4672812
"Total"	"30 years"	"30"			14123695
	"31 years"	"31"	"2020"	"2020"	4597310
	"31 years"	"31"	"2021"	"2021"	4733833
	"31 years"	"31"	"2022"	"2022"	4739263
"Total"	"31 years"	"31"			14070406
	"32 years"	"32"	"2020"	"2020"	4516859
	"32 years"	"32"	"2021"	"2021"	4598979
	"32 years"	"32"	"2022"	"2022"	4751526
"Total"	"32 years"	"32"			13867364
	"33 years"	"33"	"2020"	"2020"	4466349
	"33 years"	"33"	"2021"	"2021"	4517190
	"33 years"	"33"	"2022"	"2022"	4614523
"Total"	"33 years"	"33"			13598062
	"34 years"	"34"	"2020"	"2020"	4476204
	"34 years"	"34"	"2021"	"2021"	4465912
	"34 years"	"34"	"2022"	"2022"	4530012
"Total"	"34 years"	"34"			13472128
	"35 years"	"35"	"2020"	"2020"	4474768
	"35 years"	"35"	"2021"	"2021"	4474477
	"35 years"	"35"	"2022"	"2022"	4476550
"Total"	"35 years"	"35"			13425795
	"36 years"	"36"	"2020"	"2020"	4381551
	"36 years"	"36"	"2021"	"2021"	4471983
	"36 years"	"36"	"2022"	"2022"	4483170
"Total"	"36 years"	"36"			13336704
	"37 years"	"37"	"2020"	"2020"	4448302
	"37 years"	"37"	"2021"	"2021"	4378104
	"37 years"	"37"	"2022"	"2022"	4478749
"Total"	"37 years"	"37"			13305155
	"38 years"	"38"	"2020"	"2020"	4444608
	"38 years"	"38"	"2021"	"2021"	4443690
	"38 years"	"38"	"2022"	"2022"	4383099
"Total"	"38 years"	"38"			13271397
	"39 years"	"39"	"2020"	"2020"	4384020
	"39 years"	"39"	"2021"	"2021"	4438749
	"39 years"	"39"	"2022"	"2022"	4446381
"Total"	"39 years"	"39"			13269150
	"40 years"	"40"	"2020"	"2020"	4367208
	"40 years"	"40"	"2021"	"2021"	4377192
	"40 years"	"40"	"2022"	"2022"	4438786
"Total"	"40 years"	"40"			13183186
	"41 years"	"41"	"2020"	"2020"	4188509
	"41 years"	"41"	"2021"	"2021"	4359224
	"41 years"	"41"	"2022"	"2022"	4375219
"Total"	"41 years"	"41"			12922952
	"42 years"	"42"	"2020"	"2020"	4094672
	"42 years"	"42"	"2021"	"2021"	4179929
	"42 years"	"42"	"2022"	"2022"	4356125
"Total"	"42 years"	"42"			12630726
	"43 years"	"43"	"2020"	"2020"	4044918
	"43 years"	"43"	"2021"	"2021"	4086179
	"43 years"	"43"	"2022"	"2022"	4175926
"Total"	"43 years"	"43"			12307023
	"44 years"	"44"	"2020"	"2020"	3909525
	"44 years"	"44"	"2021"	"2021"	4035718
	"44 years"	"44"	"2022"	"2022"	4081360
"Total"	"44 years"	"44"			12026603
	"45 years"	"45"	"2020"	"2020"	3956513
	"45 years"	"45"	"2021"	"2021"	3899550
	"45 years"	"45"	"2022"	"2022"	4029138
"Total"	"45 years"	"45"			11885201
	"46 years"	"46"	"2020"	"2020"	3883074
	"46 years"	"46"	"2021"	"2021"	3945151
	"46 years"	"46"	"2022"	"2022"	3891868
"Total"	"46 years"	"46"			11720093
	"47 years"	"47"	"2020"	"2020"	3936096
	"47 years"	"47"	"2021"	"2021"	3870578
	"47 years"	"47"	"2022"	"2022"	3935451
"Total"	"47 years"	"47"			11742125
	"48 years"	"48"	"2020"	"2020"	4127036
	"48 years"	"48"	"2021"	"2021"	3921943
	"48 years"	"48"	"2022"	"2022"	3859402
"Total"	"48 years"	"48"			11908381
	"49 years"	"49"	"2020"	"2020"	4373532
	"49 years"	"49"	"2021"	"2021"	4110668
	"49 years"	"49"	"2022"	"2022"	3908239
"Total"	"49 years"	"49"			12392439
	"50 years"	"50"	"2020"	"2020"	4306528
	"50 years"	"50"	"2021"	"2021"	4354271
	"50 years"	"50"	"2022"	"2022"	4094089
"Total"	"50 years"	"50"			12754888
	"51 years"	"51"	"2020"	"2020"	4145659
	"51 years"	"51"	"2021"	"2021"	4286029
	"51 years"	"51"	"2022"	"2022"	4334593
"Total"	"51 years"	"51"			12766281
	"52 years"	"52"	"2020"	"2020"	4058058
	"52 years"	"52"	"2021"	"2021"	4124187
	"52 years"	"52"	"2022"	"2022"	4265282
"Total"	"52 years"	"52"			12447527
	"53 years"	"53"	"2020"	"2020"	4073056
	"53 years"	"53"	"2021"	"2021"	4035045
	"53 years"	"53"	"2022"	"2022"	4102135
"Total"	"53 years"	"53"			12210236
	"54 years"	"54"	"2020"	"2020"	4133183
	"54 years"	"54"	"2021"	"2021"	4047949
	"54 years"	"54"	"2022"	"2022"	4011448
"Total"	"54 years"	"54"			12192580
	"55 years"	"55"	"2020"	"2020"	4293704
	"55 years"	"55"	"2021"	"2021"	4105225
	"55 years"	"55"	"2022"	"2022"	4021403
"Total"	"55 years"	"55"			12420332
	"56 years"	"56"	"2020"	"2020"	4395591
	"56 years"	"56"	"2021"	"2021"	4261838
	"56 years"	"56"	"2022"	"2022"	4075771
"Total"	"56 years"	"56"			12733200
	"57 years"	"57"	"2020"	"2020"	4398427
	"57 years"	"57"	"2021"	"2021"	4360347
	"57 years"	"57"	"2022"	"2022"	4228510
"Total"	"57 years"	"57"			12987284
	"58 years"	"58"	"2020"	"2020"	4414206
	"58 years"	"58"	"2021"	"2021"	4360021
	"58 years"	"58"	"2022"	"2022"	4322714
"Total"	"58 years"	"58"			13096941
	"59 years"	"59"	"2020"	"2020"	4406828
	"59 years"	"59"	"2021"	"2021"	4372442
	"59 years"	"59"	"2022"	"2022"	4318616
"Total"	"59 years"	"59"			13097886
	"60 years"	"60"	"2020"	"2020"	4330925
	"60 years"	"60"	"2021"	"2021"	4361468
	"60 years"	"60"	"2022"	"2022"	4327473
"Total"	"60 years"	"60"			13019866
	"61 years"	"61"	"2020"	"2020"	4249790
	"61 years"	"61"	"2021"	"2021"	4282557
	"61 years"	"61"	"2022"	"2022"	4313536
"Total"	"61 years"	"61"			12845883
	"62 years"	"62"	"2020"	"2020"	4214035
	"62 years"	"62"	"2021"	"2021"	4198660
	"62 years"	"62"	"2022"	"2022"	4231279
"Total"	"62 years"	"62"			12643974
	"63 years"	"63"	"2020"	"2020"	4138746
	"63 years"	"63"	"2021"	"2021"	4159451
	"63 years"	"63"	"2022"	"2022"	4144198
"Total"	"63 years"	"63"			12442395
	"64 years"	"64"	"2020"	"2020"	3953158
	"64 years"	"64"	"2021"	"2021"	4081020
	"64 years"	"64"	"2022"	"2022"	4101937
"Total"	"64 years"	"64"			12136115
	"65 years"	"65"	"2020"	"2020"	3861028
	"65 years"	"65"	"2021"	"2021"	3894680
	"65 years"	"65"	"2022"	"2022"	4020640
"Total"	"65 years"	"65"			11776348
	"66 years"	"66"	"2020"	"2020"	3725930
	"66 years"	"66"	"2021"	"2021"	3800329
	"66 years"	"66"	"2022"	"2022"	3833262
"Total"	"66 years"	"66"			11359521
	"67 years"	"67"	"2020"	"2020"	3572464
	"67 years"	"67"	"2021"	"2021"	3663524
	"67 years"	"67"	"2022"	"2022"	3737326
"Total"	"67 years"	"67"			10973314
	"68 years"	"68"	"2020"	"2020"	3438063
	"68 years"	"68"	"2021"	"2021"	3508475
	"68 years"	"68"	"2022"	"2022"	3598472
"Total"	"68 years"	"68"			10545010
	"69 years"	"69"	"2020"	"2020"	3272158
	"69 years"	"69"	"2021"	"2021"	3371921
	"69 years"	"69"	"2022"	"2022"	3441722
"Total"	"69 years"	"69"			10085801
	"70 years"	"70"	"2020"	"2020"	3123674
	"70 years"	"70"	"2021"	"2021"	3206572
	"70 years"	"70"	"2022"	"2022"	3305273
"Total"	"70 years"	"70"			9635519
	"71 years"	"71"	"2020"	"2020"	3041945
	"71 years"	"71"	"2021"	"2021"	3056728
	"71 years"	"71"	"2022"	"2022"	3141497
"Total"	"71 years"	"71"			9240170
	"72 years"	"72"	"2020"	"2020"	2977810
	"72 years"	"72"	"2021"	"2021"	2970775
	"72 years"	"72"	"2022"	"2022"	2988811
"Total"	"72 years"	"72"			8937396
	"73 years"	"73"	"2020"	"2020"	3135873
	"73 years"	"73"	"2021"	"2021"	2901153
	"73 years"	"73"	"2022"	"2022"	2898395
"Total"	"73 years"	"73"			8935421
	"74 years"	"74"	"2020"	"2020"	2222663
	"74 years"	"74"	"2021"	"2021"	3048516
	"74 years"	"74"	"2022"	"2022"	2823041
"Total"	"74 years"	"74"			8094220
	"75 years"	"75"	"2020"	"2020"	2131082
	"75 years"	"75"	"2021"	"2021"	2153675
	"75 years"	"75"	"2022"	"2022"	2959404
"Total"	"75 years"	"75"			7244161
	"76 years"	"76"	"2020"	"2020"	2071413
	"76 years"	"76"	"2021"	"2021"	2059273
	"76 years"	"76"	"2022"	"2022"	2083434
"Total"	"76 years"	"76"			6214120
	"77 years"	"77"	"2020"	"2020"	2088946
	"77 years"	"77"	"2021"	"2021"	1994297
	"77 years"	"77"	"2022"	"2022"	1986144
"Total"	"77 years"	"77"			6069387
	"78 years"	"78"	"2020"	"2020"	1787580
	"78 years"	"78"	"2021"	"2021"	2003370
	"78 years"	"78"	"2022"	"2022"	1915774
"Total"	"78 years"	"78"			5706724
	"79 years"	"79"	"2020"	"2020"	1603928
	"79 years"	"79"	"2021"	"2021"	1706449
	"79 years"	"79"	"2022"	"2022"	1916244
"Total"	"79 years"	"79"			5226621
	"80 years"	"80"	"2020"	"2020"	1467675
	"80 years"	"80"	"2021"	"2021"	1523339
	"80 years"	"80"	"2022"	"2022"	1623833
"Total"	"80 years"	"80"			4614847
	"81 years"	"81"	"2020"	"2020"	1362968
	"81 years"	"81"	"2021"	"2021"	1385951
	"81 years"	"81"	"2022"	"2022"	1441506
"Total"	"81 years"	"81"			4190425
	"82 years"	"82"	"2020"	"2020"	1273223
	"82 years"	"82"	"2021"	"2021"	1278439
	"82 years"	"82"	"2022"	"2022"	1303339
"Total"	"82 years"	"82"			3855001
	"83 years"	"83"	"2020"	"2020"	1136497
	"83 years"	"83"	"2021"	"2021"	1185453
	"83 years"	"83"	"2022"	"2022"	1193273
"Total"	"83 years"	"83"			3515223
	"84 years"	"84"	"2020"	"2020"	1048421
	"84 years"	"84"	"2021"	"2021"	1049070
	"84 years"	"84"	"2022"	"2022"	1097594
"Total"	"84 years"	"84"			3195085
	"85+ years"	"85+"	"2020"	"2020"	6483182
	"85+ years"	"85+"	"2021"	"2021"	6467137
	"85+ years"	"85+"	"2022"	"2022"	6485868
"Total"	"85+ years"	"85+"			19436187
"Total"					996830623
"---"
"Dataset: Single-Race Population Estimates 2020-2022 by State and Single-Year Age"
"Query Parameters:"
"Group By: Single-Year Ages; Yearly July 1st Estimates"
"Show Totals: True"
"Show Zero Values: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/single-race.html for more information."
"---"
"Query Date: Jul 29, 2024 1:31:13 PM"
"---"
"Suggested Citation: Single-race Population Estimates, United States, 2020-2022. July 1st resident population by state, age, sex,"
"single-race, and Hispanic origin, on CDC WONDER Online Database. The 2020-2022 postcensal series of estimates of the July 1"
"resident population are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, released by the Census Bureau on June 22, 2023. Accessed at"
"http://wonder.cdc.gov/single-race-single-year-v2022.html on Jul 29, 2024 1:31:13 PM"
"---"
Footnotes:
"1. Estimates for 2020-2022 are single-race Vintage 2022 postcensal estimates of the July 1 resident population, based on the"
"modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, and released by"
"the Census Bureau on June 22, 2023."
"---"
Caveats:
